"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"167000000.000000","6.514008","9.909016","12.001755","6.001816","6.001801","8.001743","12.001614",
"168000000.000000","6.543816","9.929737","12.001755","6.001816","6.001801","8.001743","12.001614",
"169000000.000000","6.573616","9.950554","12.001755","6.001816","6.001801","8.001743","12.001614",
"170000000.000000","6.603416","9.971493","12.001755","6.001816","6.001801","8.001743","12.001614",
"171000000.000000","6.633217","9.992527","12.001755","6.001816","6.001801","8.001743","12.001614",
"172000000.000000","6.663025","10.013672","12.001755","6.001816","6.001801","8.001743","12.001614",
"173000000.000000","6.692825","10.034863","12.001755","6.001816","6.001801","8.001743","12.001614",
"174000000.000000","6.722630","10.056133","12.001755","6.001816","6.001801","8.001743","12.001614",
"175000000.000000","6.752434","10.077492","12.001755","6.001816","6.001801","8.001743","12.001614",
"176000000.000000","6.782234","10.098911","12.001755","6.001816","6.001801","8.001743","12.001614",
"177000000.000000","6.812035","10.120495","12.001755","6.001816","6.001801","8.001743","12.001614",
"178000000.000000","6.841835","10.142086","12.001755","6.001816","6.001801","8.001743","12.001614",
"179000000.000000","6.871639","10.163799","12.001755","6.001816","6.001801","8.001743","12.001614",
"180000000.000000","6.901443","10.185574","12.001755","6.001816","6.001801","8.001743","12.001614",
"181000000.000000","6.931244","10.207455","12.001755","6.001816","6.001801","8.001743","12.001614",
"182000000.000000","6.961048","10.229412","12.001755","6.001816","6.001801","8.001743","12.001614",
"183000000.000000","6.990845","10.251442","12.001755","6.001816","6.001801","8.001743","12.001614",
"184000000.000000","7.020653","10.273540","12.001755","6.001816","6.001801","8.001743","12.001614",
"185000000.000000","7.050453","10.295742","12.001755","6.001816","6.001801","8.001743","12.001614",
"186000000.000000","7.080254","10.318035","12.001755","6.001816","6.001801","8.001743","12.001614",
"187000000.000000","7.110058","10.340412","12.001755","6.001816","6.001801","8.001743","12.001614",
"188000000.000000","7.139862","10.362858","12.001755","6.001816","6.001801","8.001743","12.001614",
"189000000.000000","7.169662","10.385395","12.001755","6.001816","6.001801","8.001743","12.001614",
"190000000.000000","7.199463","10.408016","12.001755","6.001816","6.001801","8.001743","12.001614",
"191000000.000000","7.229263","10.430702","12.001755","6.001816","6.001801","8.001743","12.001614",
"192000000.000000","7.259071","10.453518","12.001755","6.001816","6.001801","8.001743","12.001614",
"193000000.000000","7.288868","10.476433","12.001755","6.001816","6.001801","8.001743","12.001614",
"194000000.000000","7.318672","10.499401","12.001755","6.001816","6.001801","8.001743","12.001614",
"195000000.000000","7.348473","10.522408","12.001755","6.001816","6.001801","8.001743","12.001614",
"196000000.000000","7.378281","10.545544","12.001755","6.001816","6.001801","8.001743","12.001614",
"197000000.000000","7.408077","10.568771","12.001755","18.001751","6.001801","8.001743","12.001614",
"198000000.000000","7.437881","10.592026","12.001755","12.001816","6.001801","8.001743","12.001614",
"199000000.000000","7.467682","10.615402","12.001755","12.001816","6.001801","8.001743","12.001614",
"200000000.000000","7.497490","10.638882","12.001755","12.001816","6.001801","8.001743","12.001614",
