"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"117000000.000000","4.609169","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"118000000.000000","4.638966","5.767582","6.001720","6.001862","3.001991","4.001858","6.001923",
"119000000.000000","4.668770","5.793816","6.001720","6.001862","3.001991","4.001858","6.001923",
"120000000.000000","4.698570","5.820156","6.001720","6.001862","3.001991","4.001858","6.001923",
"121000000.000000","4.728374","5.846664","6.001720","6.001862","3.001991","4.001858","6.001923",
"122000000.000000","4.758171","5.873291","6.001720","6.001862","3.001991","4.001858","6.001923",
"123000000.000000","4.787975","5.900070","6.001720","6.001862","3.001991","4.001858","6.001923",
"124000000.000000","4.817776","5.926991","6.001720","6.001862","3.001991","4.001858","6.001923",
"125000000.000000","4.847580","5.954025","6.001720","6.001862","3.001991","4.001858","6.001923",
"126000000.000000","4.877384","5.981174","6.001720","6.001862","3.001991","4.001858","6.001923",
"127000000.000000","4.907185","6.008476","6.001720","6.001862","3.001991","4.001858","6.001923",
"128000000.000000","4.936989","6.035870","6.001720","6.001862","3.001991","4.001858","6.001923",
"129000000.000000","4.966789","6.063400","6.001720","6.001862","3.001991","4.001858","6.001923",
"130000000.000000","4.996597","6.091042","6.001720","6.001862","3.001991","4.001858","6.001923",
"131000000.000000","5.026394","6.118858","6.001720","6.001862","3.001991","4.001858","6.001923",
"132000000.000000","5.056198","6.146767","6.001720","6.001862","3.001991","4.001858","6.001923",
"133000000.000000","5.086002","6.174786","6.001720","6.001862","9.001869","4.001858","6.001923",
"134000000.000000","5.115810","6.202938","6.001720","6.001862","6.001991","4.001858","6.001923",
"135000000.000000","5.145603","15.487675","18.001667","6.001862","6.001991","12.001713","18.001926",
"136000000.000000","5.175407","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"137000000.000000","5.205208","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"138000000.000000","5.235012","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"139000000.000000","5.264820","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"140000000.000000","5.294617","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"141000000.000000","5.324417","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"142000000.000000","5.354221","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"143000000.000000","5.384022","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"144000000.000000","5.413826","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"145000000.000000","5.443630","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"146000000.000000","5.473431","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"147000000.000000","5.503231","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"148000000.000000","5.533035","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"149000000.000000","5.562843","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"150000000.000000","5.592640","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"151000000.000000","7.880409","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"152000000.000000","6.807270","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"153000000.000000","6.837070","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"154000000.000000","6.866879","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"155000000.000000","6.896675","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"156000000.000000","6.926479","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"157000000.000000","6.956276","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"158000000.000000","6.986080","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"159000000.000000","7.015888","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"160000000.000000","7.045689","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"161000000.000000","7.075489","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"162000000.000000","7.105289","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"163000000.000000","7.135094","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"164000000.000000","7.164894","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"165000000.000000","7.194702","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"166000000.000000","7.224499","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"167000000.000000","7.254303","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"168000000.000000","7.284107","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"169000000.000000","7.313904","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"170000000.000000","7.343708","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"171000000.000000","7.373508","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"172000000.000000","7.403313","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"173000000.000000","7.433117","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"174000000.000000","7.462917","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"175000000.000000","7.492722","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"176000000.000000","7.522522","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"177000000.000000","7.552322","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"178000000.000000","7.582127","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"179000000.000000","7.611927","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"180000000.000000","7.641739","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"181000000.000000","7.671535","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"182000000.000000","7.701336","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"183000000.000000","7.731140","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"184000000.000000","7.760944","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"185000000.000000","7.790745","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"186000000.000000","7.820553","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"187000000.000000","7.850349","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"188000000.000000","7.880157","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"189000000.000000","7.909950","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"190000000.000000","7.939754","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"191000000.000000","7.969559","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"192000000.000000","7.999359","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"193000000.000000","8.029163","11.487675","12.001720","6.001862","6.001991","8.001858","12.001923",
"194000000.000000","8.058968","11.487675","12.001720","18.001774","6.001991","8.001858","12.001923",
"195000000.000000","8.088764","11.487675","12.001720","12.001862","6.001991","8.001858","12.001923",
"196000000.000000","8.118568","11.487675","12.001720","12.001862","6.001991","8.001858","12.001923",
"197000000.000000","8.148373","11.487675","12.001720","12.001862","6.001991","8.001858","12.001923",
"198000000.000000","8.178173","11.487675","12.001720","12.001862","6.001991","8.001858","12.001923",
"199000000.000000","8.207973","11.487675","12.001720","12.001862","6.001991","8.001858","12.001923",
"200000000.000000","8.237782","11.487675","12.001720","12.001862","6.001991","8.001858","12.001923",
